antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=B'})","frozenset({'pai_landslide_hazard_level=Moderata P1', 'rooting_depth_class=4'})",0.1527740207447351,0.09934679361250183,0.06330292723378403,0.4143566224492758,4.17081022328166,1.0,0.04812531812550476,1.5378867770249653,0.8973266287466579,0.3352591653162357,0.3497570725365783,0.5257740350116307
"frozenset({'pai_landslide_hazard_level=Moderata P1', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=B'})",0.09934679361250183,0.1527740207447351,0.06330292723378403,0.6371914475739856,4.17081022328166,1.0,0.04812531812550476,2.33518745241827,0.8440967359690128,0.3352591653162357,0.5717688535177673,0.5257740350116307
"frozenset({'landslide_surface_class=2', 'surface_stoniness_class=2'})","frozenset({'pai_landslide_hazard_level=Moderata P1', 'usda_hydrologic_group=B'})",0.09205199043915159,0.17169616368740107,0.05944931996470113,0.6458232970421042,3.7614311419206987,1.0,0.04364434634650948,2.3386739709163393,0.8085746501197767,0.29099196874321676,0.5724072647851038,0.4960352602778577
"frozenset({'pai_landslide_hazard_level=Moderata P1', 'usda_hydrologic_group=B'})","frozenset({'landslide_surface_class=2', 'surface_stoniness_class=2'})",0.17169616368740107,0.09205199043915159,0.05944931996470113,0.3462472235136112,3.7614311419206987,1.0,0.04364434634650948,1.3888247089987722,0.8863217963903615,0.29099196874321676,0.2799667276074623,0.4960352602778577
"frozenset({'landslide_surface_class=1', 'rooting_depth_class=1'})","frozenset({'surface_stoniness_class=1', 'usda_hydrologic_group=C'})",0.13295610257956658,0.13137297508237142,0.06196369893083462,0.4660462944433326,3.5475050645014288,1.0,0.0444968601796,1.6267834006546527,0.8282299784193748,0.3061971337160888,0.3852900148860762,0.4688543708503583
"frozenset({'surface_stoniness_class=1', 'usda_hydrologic_group=C'})","frozenset({'landslide_surface_class=1', 'rooting_depth_class=1'})",0.13137297508237142,0.13295610257956658,0.06196369893083462,0.47166244725738393,3.5475050645014288,1.0,0.0444968601796,1.6410794442295131,0.8267204770854031,0.3061971337160888,0.3906449785132126,0.4688543708503583
"frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=B'})","frozenset({'surface_stoniness_class=2', 'pai_landslide_hazard_level=Moderata P1'})",0.1527740207447351,0.11167035471811905,0.05944931996470113,0.38913239093204843,3.4846525912298354,1.0,0.04238899087642328,1.454209769997913,0.8416023164301631,0.2900036775044887,0.31234129997528826,0.4607483890963951
"frozenset({'surface_stoniness_class=2', 'pai_landslide_hazard_level=Moderata P1'})","frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=B'})",0.11167035471811905,0.1527740207447351,0.05944931996470113,0.5323643872607418,3.4846525912298354,1.0,0.04238899087642328,1.811722538179864,0.8026607582760446,0.2900036775044887,0.44803910150356474,0.4607483890963951
"frozenset({'landslide_surface_class=3', 'rooting_depth_class=1'})","frozenset({'surface_stoniness_class=1', 'usda_hydrologic_group=D'})",0.11770131661219585,0.1744677454401937,0.06912990071085529,0.5873332830984854,3.3664290302863984,1.0,0.048594817366183055,2.000481794990083,0.796724899316572,0.3099451248608239,0.5001204197387074,0.4917832061223561
"frozenset({'surface_stoniness_class=1', 'usda_hydrologic_group=D'})","frozenset({'landslide_surface_class=3', 'rooting_depth_class=1'})",0.1744677454401937,0.11770131661219585,0.06912990071085529,0.39623312914622677,3.366429030286398,1.0,0.048594817366183055,1.4613234444946694,0.8515104356087477,0.3099451248608239,0.31568879992491783,0.4917832061223561
"frozenset({'usda_hydrologic_group=C', 'rooting_depth_class=1'})","frozenset({'landslide_surface_class=1', 'surface_stoniness_class=1'})",0.13449488476871704,0.14142162188529642,0.06196369893083462,0.46071416795806,3.257735004140554,1.0,0.0429432141915666,1.5920655190658382,0.8007327160058169,0.2896138620017825,0.3718851466698676,0.4494314309734798
"frozenset({'landslide_surface_class=1', 'surface_stoniness_class=1'})","frozenset({'usda_hydrologic_group=C', 'rooting_depth_class=1'})",0.14142162188529642,0.13449488476871704,0.06196369893083462,0.4381486939888997,3.257735004140554,1.0,0.0429432141915666,1.5404522619623195,0.8071927727295792,0.2896138620017825,0.35083999375213326,0.4494314309734798
