antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'descending_soil_presence=0', 'usda_hydrologic_group=B', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})",0.10802517039684616,0.11618470707706771,0.06264661667472272,0.5799261083743842,4.991415160944609,1.0,0.05009574389521483,2.1039519725987126,0.896500651463233,0.38775286141684734,0.5247039794521344,0.5595622908284135
"frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})","frozenset({'descending_soil_presence=0', 'usda_hydrologic_group=B', 'rooting_depth_class=4'})",0.11618470707706771,0.10802517039684616,0.06264661667472272,0.5391984732824426,4.991415160944609,1.0,0.05009574389521483,1.9357028522821689,0.9047773015823599,0.38775286141684734,0.4833917825656904,0.5595622908284135
"frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})","frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})",0.11618470707706771,0.10932005339175088,0.06330292723378403,0.5448473282442748,4.983965076304913,1.0,0.05060160885281405,1.9568817275585852,0.9044384566378452,0.39027257566230145,0.48898291301048397,0.5619539253585483
"frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})",0.10932005339175088,0.11618470707706771,0.06330292723378403,0.5790605224728217,4.983965076304912,1.0,0.05060160885281405,2.0996255759021034,0.8974677632836902,0.39027257566230145,0.5237246052452231,0.5619539253585483
"frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})","frozenset({'ascending_soil_presence=0', 'usda_hydrologic_group=B', 'rooting_depth_class=4'})",0.11618470707706771,0.10816264085178467,0.06258896777426465,0.5387022900763359,4.980483888281906,1.0,0.05002212303021797,1.9333227544004006,0.9042797776437651,0.3869287496230502,0.4827557904007914,0.5586791758692122
"frozenset({'ascending_soil_presence=0', 'usda_hydrologic_group=B', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})",0.10816264085178467,0.11618470707706771,0.06258896777426465,0.5786560616620885,4.980483888281906,1.0,0.05002212303021797,2.097610081705093,0.8961457920150726,0.3869287496230502,0.5232669747720101,0.5586791758692122
"frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1', 'descending_soil_presence=0'})","frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})",0.1151381578072132,0.10932005339175088,0.06264661667472272,0.5440995224156524,4.977124557978941,1.0,0.05005970711581034,1.9536718876181953,0.9030571086798195,0.38715777357559805,0.4881433231763689,0.558578237599194
"frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1', 'descending_soil_presence=0'})",0.10932005339175088,0.1151381578072132,0.06264661667472272,0.5730569527827356,4.977124557978941,1.0,0.05005970711581034,2.072552411756444,0.8971581540986228,0.38715777357559805,0.5175031548888449,0.558578237599194
"frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'ascending_soil_presence=0', 'pai_landslide_hazard_level=Moderata P1'})",0.10932005339175088,0.11516033046123555,0.06258896777426465,0.5725296122018498,4.971587090005535,1.0,0.0499996342996307,2.069943778085939,0.896906898358763,0.3866107869723615,0.5168950912644148,0.5580118891614971
"frozenset({'landslide_surface_class=2', 'ascending_soil_presence=0', 'pai_landslide_hazard_level=Moderata P1'})","frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})",0.11516033046123555,0.10932005339175088,0.06258896777426465,0.5434941661211444,4.971587090005534,1.0,0.0499996342996307,1.9510811921948226,0.9028268237105251,0.3866107869723615,0.487463666811798,0.5580118891614971
