variable,mean_center_x,mean_center_y,median_center_x,median_center_y,sde_semi_major_axis,sde_semi_minor_axis,sde_rotation_deg
erd_E10000_1,679841.6485270461,4849269.512397631,,,15188.421167182672,10484.555741035732,42.312719027471005
erd_E15000_2,680102.1630520321,4849432.028975453,,,15183.920334178745,10592.090179433175,40.96435981632024
erd_E26000_5,680432.2009665148,4849510.145266347,,,13297.426708557545,9635.201900233807,40.71426311265233
erd_E55000_7,680341.8870073793,4848981.802503536,,,11349.939199019962,8608.327024846056,44.81112236987958
erd_E75000_1,680379.100754244,4849092.359647476,,,10850.202646481857,8211.877994758072,47.009201680115915
erd_E_GE1200,679799.4085520768,4849004.273719654,,,10497.522695835338,8028.1419096263135,54.601589922512126
edst_acq_imm,680363.4755746414,4850060.133598088,,,12913.328572881575,9237.417754004475,41.98169575727306
edst_acq_erog,679934.6691070858,4849984.786790545,,,13505.926234668015,9364.375840503148,43.26745164104877
eidx_COMP_FRA,687851.9865403118,4858373.675131802,,,25419.946047575162,12554.18363197348,33.5278756145932
eidx_LAND_CON,678449.6747470075,4849525.518018544,,,18483.199624243574,12401.196170424599,43.671496093415826
eidx_EMPL_RAT,684246.5837067068,4854164.942407286,,,24168.555515141477,13147.651200663227,35.65066550282742
eidx_POP_25_6,684015.9018649758,4854731.022260639,,,25059.654015693686,13427.900507079474,36.152418150100885
eidx_POP_DEPE,684602.6276976196,4854728.64058086,,,24357.755418223525,13101.312352101397,34.71207941294584
eidx_INDEX_AC,687932.7191422182,4860164.797752075,,,25596.39323876765,13007.200456165363,30.90176593819439
eidx_PERSEMP,683785.5831800341,4852399.389712631,,,26267.997327760797,12943.270950805883,40.99521279724952
nearest_hydro_distance_m,685546.7261350458,4856282.369211219,,,25379.60121514753,14236.592073441161,33.31614665362531
nearest_hydro_river_stage_max_m,700418.9227811757,4857430.933112657,,,22106.010650461467,0.0,-0.9833620928062733
nearest_hydro_river_stage_mean_m,768918.1177861369,4884059.262729399,,,28884.980058874793,0.0,-16.923558924405295
nearest_hydro_river_stage_std_m,679917.0114176413,4850183.360045813,,,24850.526413334344,14917.137775998452,51.63296403704302
nearest_hydro_quota,694064.5431228701,4866354.197770126,,,23129.432564662722,11392.824384846854,25.875454006456597
idw_temp_max_peak,683347.2530954981,4853122.046624851,,,24037.190598571826,13084.196858797677,36.85465943187443
idw_temp_min_nadir,678320.4499920076,4846282.638528498,,,21362.33229197203,13138.73909598179,42.47431827304919
idw_temp_thermal_range,683812.963127283,4853755.686162254,,,24124.92096618066,13068.889903325613,36.50730307469897
idw_rain_mm_sum_annual,686462.9054762361,4857928.448998494,,,24136.357399357028,13269.802864727684,33.552550677940886
idw_rain_mm_max_monthly,686374.6919103457,4859366.358273522,,,24972.118913192684,12845.645750549122,33.8660746986598
idw_rain_mm_min_monthly,693502.8841336983,4862792.9139064085,,,24589.446661199054,13491.376106167736,27.71827589558773
idw_rain_mm_avg_monthly,686460.7604491148,4857925.813295966,,,24132.022460417393,13272.565905331194,33.55094145939392
idw_rain_mm_std,686031.902844665,4858728.537978793,,,24517.236207025795,13150.458189372272,34.01691662685074
idw_wind_speed_max_max,687173.2762508809,4859559.901300945,,,24437.920745706462,12914.223710466835,33.839031887523944
idw_wind_speed_max_95p,686346.7599807887,4858600.987731439,,,24654.43080339411,12995.985636799884,34.000577193919014
idw_wind_speed_avg_mean,686750.7590961033,4859400.539835726,,,25002.088611272844,12965.193171729812,33.787978181622364
dtmidcnt_mean,692412.1426571544,4862989.642675538,,,22823.25285331498,12963.753447709634,22.681388549193017
dtmidcnt_max,692304.7028471953,4862846.850844149,,,22897.30171334443,12966.310460862536,23.198136566268364
descending_soil_presence,679907.3695742463,4847460.863387251,,,19702.96730043204,12859.692948950405,51.90370485179838
ascending_soil_presence,677870.8199741966,4846065.6661142185,,,18332.736889028172,13002.618985639308,45.994681332814764
census_pop,680008.9733732309,4849290.421561614,,,14366.48084945648,10166.55174495011,42.66518442185655
inflow_total,679585.4408526673,4849468.449151451,,,12781.614551050581,9358.937815770209,39.67117513852297
